"","statistic","aad_v6","old_aad","difference"
"96","Forest_Savanna_var",13115391891.3367,22274138607.9367,-9158746716.59997
"97","Forest_Wetland_mean",5786.2248279174,1232.10982191042,4554.11500600698
"98","Forest_Wetland_var",506737573.552684,476202849.718982,30534723.8337019
"99","Nonveg_Riverlakeocean_mean",0,707.359301518773,-707.359301518773
"100","Nonveg_Riverlakeocean_var",0,6429231.42168577,-6429231.42168577
"101","Savanna_Farming_mean",0,38886.0669956056,-38886.0669956056
"102","Savanna_Farming_var",0,10149551516.6098,-10149551516.6098
"103","Savanna_Floodforest_mean",0.00536257403553706,0,0.00536257403553706
"104","Savanna_Floodforest_var",0.0247041027365925,0,0.0247041027365925
"105","Savanna_Nonveg_mean",0,152.771760080179,-152.771760080179
"106","Savanna_Nonveg_var",0,1958897.47055208,-1958897.47055208
"107","Savanna_Riverlakeocean_mean",686.900592284296,511.037005627939,175.863586656357
"108","Savanna_Riverlakeocean_var",7742938.19342343,5087237.50720769,2655700.68621574
"109","Savanna_Wetland_mean",7641.94797502801,501.097563796161,7140.85041123185
"110","Savanna_Wetland_var",2101034080.71239,158639254.986549,1942394825.72584
"111","Wetland_Farming_mean",0,131.427453550227,-131.427453550227
"112","Wetland_Farming_var",0,4996702.55105692,-4996702.55105692
"113","Wetland_Nonveg_mean",0,27.4357027214556,-27.4357027214556
"114","Wetland_Nonveg_var",0,30166.957181764,-30166.957181764
"115","SWOccurrence_mean",58.3115328193336,40.6238507487058,17.6876820706278
"116","SWOccurrence_var",547.26216723893,557.223184581808,-9.96101734287799
"117","CL_mean",1.03537331426608,0.936394919590881,0.0989783946751998
"118","CL_var",14.3493490686319,5.439421303605,8.90992776502688
"119","pland_forest_mean",33.507612511725,36.3300513173177,-2.8224388055927
"120","pland_forest_var",961.8802320126,959.172524154599,2.70770785800153
