,Locality,Place_Name,District,Latitude,Longitude,Accuracy,Admin_Name_1,Admin_Name_2,Admin_Name_3
167,PEDRO ANTONIO,"""Pedro Antonio""",LABERINTO,-12.6345,-69.549,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
168,PASTORA GRANDE,"""Pastora Grande""",LABERINTO,-12.6036,-69.543,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
169,LAS MERCEDES,"""Las Mercedes""",LABERINTO,-12.7053,-69.4466,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
170,VICTOR RAUL HAYA DE LA TORRE,"""Victor Raul Haya de la Torre""",LABERINTO,-12.7183,-69.4869,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
171,TAHUANTISUYO,"""Tahuantisuyo""",LABERINTO,-12.7331,-69.5188,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
172,FLORIDA BAJA,"""Florida Baja""",LABERINTO,-12.7617,-69.5681,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
173,FLORIDA ALTA,"""Florida Alta""",LABERINTO,-12.7826,-69.6047,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
174,VIRGENES DEL SOL,"""Virgenes del Sol""",LABERINTO,-12.8242,-69.6625,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
175,SAN JUAN,"""San Juan""",LABERINTO,-12.8296,-69.6637,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
176,HUITOTO,"""Huitoto""",LABERINTO,-12.5788,-70.0292,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
177,NUEVA ALIANZA,"""Nueva Alianza""",LABERINTO,-12.6576,-69.7966,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
178,CHORRERA,"""Chorrera""",LABERINTO,-12.633,-69.4744,4,"""Madre De Dios""","""Tambopata""","""Laberinto"""
179,LOS CEDROS,"""Los Cedros""",LABERINTO,-12.7482,-69.4649,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
180,PROGRESO VERDE,"""Progreso Verde""",LABERINTO,-12.7511,-69.5025,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
181,AGUAS BLANCAS,"""Aguas Blancas""",LABERINTO,-12.7578,-69.5034,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
182,SANTO DOMINGO,"""Santo Domingo""",LABERINTO,-12.763,-69.5687,3,"""Madre De Dios""","""Tambopata""","""Laberinto"""
