DEPARTAMENTO DE MADRE DE DIOS,,,,,,,,,,,
,,,,,,,,,,,
CÓDIGO,CENTROS POBLADOS,"REGIÓN NATURAL (según piso
altitudinal)","ALTITUD
(m s.n.m.)",POBLACIÓN CENSADA,,,VIVIENDAS PARTICULARES,,,District Code,District Name
59,AGUAS NEGRAS,Omagua,251,-,-,-,1,1,-,170103,LAS PIEDRAS
60,AGUAJALITO,Omagua,173,7,5,2,12,12,-,170103,LAS PIEDRAS
62,LA FLORIDA,Omagua,234,35,18,17,12,12,-,170103,LAS PIEDRAS
63,TORMENTA,Omagua,201,-,-,-,2,-,2,170103,LAS PIEDRAS
65,RAMON GONZALES,Omagua,189,20,11,9,11,10,1,170103,LAS PIEDRAS
71,PUERTO LUCERNA,Omagua,209,98,41,57,30,29,1,170103,LAS PIEDRAS
72,SANTA ELENA,Omagua,286,5,3,2,14,14,-,170103,LAS PIEDRAS
73,NUEVO BETHEL,Omagua,272,43,24,19,31,29,2,170103,LAS PIEDRAS
74,BAJO LOBOYOC,Omagua,205,9,6,3,14,14,-,170103,LAS PIEDRAS
75,JUAN VELASCO ALVARADO,Omagua,183,7,5,2,12,12,-,170103,LAS PIEDRAS
1,PUERTO ROSARIO DE LABERINTO,Omagua,192,3 660,1 873,1 787,1 425,1 273,152,170104,LABERINTO
2,CINCO ISLAS,Omagua,211,2,1,1,2,1,1,170104,LABERINTO
4,LAGARTO (BASE NAVAL),Omagua,212,17,6,11,21,20,1,170104,LABERINTO
6,HORACIO CEVALLOS,Omagua,196,47,27,20,20,20,-,170104,LABERINTO
7,LAGO INAMBARILLO,Omagua,235,84,45,39,25,25,-,170104,LABERINTO
8,HUACAMAYO CHICO,Omagua,237,8,4,4,5,5,-,170104,LABERINTO
9,AMARACAIRE,Omagua,211,86,48,38,25,25,-,170104,LABERINTO
10,BOCA UNION,Omagua,189,86,50,36,46,37,9,170104,LABERINTO
12,FORTUNA ALTO LABERINTO,Omagua,195,58,34,24,32,30,2,170104,LABERINTO
13,PEDRO ANTONIO,Omagua,191,7,3,4,2,1,1,170104,LABERINTO
14,PASTORA GRANDE,Omagua,170,9,5,4,11,7,4,170104,LABERINTO
17,LAS MERCEDES,Omagua,240,34,16,18,18,9,9,170104,LABERINTO
19,VICTOR RAUL HAYA DE LA TORRE,Omagua,240,15,9,6,16,13,3,170104,LABERINTO
20,TAHUANTISUYO,Omagua,217,6,4,2,9,2,7,170104,LABERINTO
21,FLORIDA BAJA,Omagua,234,142,74,68,56,54,2,170104,LABERINTO
22,FLORIDA ALTA,Omagua,236,105,61,44,70,47,23,170104,LABERINTO
23,VIRGENES DEL SOL,Omagua,232,64,33,31,18,18,-,170104,LABERINTO
24,SAN JUAN,Omagua,228,57,33,24,21,20,1,170104,LABERINTO
26,HUITOTO,Omagua,218,28,14,14,10,8,2,170104,LABERINTO
27,NUEVA ALIANZA,Omagua,202,31,19,12,9,9,-,170104,LABERINTO
28,CHORRERA,Omagua,186,6,3,3,3,2,1,170104,LABERINTO
31,LOS CEDROS,Omagua,208,19,14,5,17,15,2,170104,LABERINTO
32,PROGRESO VERDE,Omagua,235,3,2,1,6,1,5,170104,LABERINTO
33,AGUAS BLANCAS,Omagua,230,4,3,1,12,7,5,170104,LABERINTO
34,SANTO DOMINGO,Omagua,237,661,346,315,292,246,46,170104,LABERINTO
35,RESIDENTES CUZQUEÑOS,Omagua,239,8,5,3,6,4,2,170104,LABERINTO
36,HUANTUPA,Omagua,197,35,17,18,25,20,5,170104,LABERINTO
37,MANANTIALES,Omagua,233,5,3,2,6,5,1,170104,LABERINTO
39,FILADELFIA,Omagua,194,11,10,1,9,6,3,170104,LABERINTO
40,MARONAL,Omagua,199,10,6,4,5,5,-,170104,LABERINTO
41,NUEVA UNION,Omagua,204,17,8,9,7,7,-,170104,LABERINTO
42,CATARATAS,Omagua,230,10,8,2,10,10,-,170104,LABERINTO
1,SALVACION,Rupa Rupa,535,1 272,682,590,651,539,112,170201,MANU
2,SHIPETIARI,Omagua,343,118,55,63,29,28,1,170201,MANU
4,ITAHUANIA,Rupa Rupa,403,212,115,97,109,104,5,170201,MANU
5,SHINTUYA,Rupa Rupa,418,202,113,89,75,73,2,170201,MANU
6,PALOTOA TEPARO,Rupa Rupa,438,99,52,47,35,31,4,170201,MANU
7,SANTA CRUZ,Rupa Rupa,460,47,27,20,24,16,8,170201,MANU
8,LLACTAPAMPA (PALOTOA),Rupa Rupa,440,148,77,71,62,61,1,170201,MANU
9,MANSILLA II (NUEVA MANSILLA),Rupa Rupa,549,15,9,6,15,12,3,170201,MANU
10,MANSILLA I (MANSILLA),Rupa Rupa,479,38,17,21,23,17,6,170201,MANU
11,ADAN RAYO,Rupa Rupa,502,7,4,3,6,6,-,170201,MANU
12,LOS AGUANOS,Rupa Rupa,486,19,11,8,14,11,3,170201,MANU
13,YUNGUYO,Rupa Rupa,518,5,4,1,12,10,2,170201,MANU
14,GAMITANA,Rupa Rupa,510,90,47,43,40,39,1,170201,MANU
15,ALTO CARBON,Rupa Rupa,537,5,4,1,6,6,-,170201,MANU
16,BONANZA,Omagua,345,5,4,1,7,7,-,170201,MANU
17,MAMAJAPA,Omagua,367,20,13,7,20,19,1,170201,MANU
18,JOSE OLAYA,Rupa Rupa,441,2,1,1,1,1,-,170201,MANU
20,CABO DE HORNOS 1,Rupa Rupa,472,16,11,5,5,5,-,170201,MANU
21,PACASMAYO,Rupa Rupa,651,2,2,-,6,6,-,170201,MANU
22,PAMPA ARIZONA,Rupa Rupa,538,4,4,-,10,8,2,170201,MANU
23,MASCOITANIA,Rupa Rupa,468,16,11,5,8,7,1,170201,MANU
24,AMAZONIA,Rupa Rupa,512,3,2,1,1,1,-,170201,MANU
26,TEPARO GRANDE,Rupa Rupa,460,1,1,-,1,1,-,170201,MANU
27,SANTA ELENA,Rupa Rupa,457,4,4,-,1,1,-,170201,MANU
29,ATALAYA TROPICAL (TROPICAL I),Rupa Rupa,498,6,4,2,5,4,1,170201,MANU
1,BOCA MANU,Omagua,282,160,93,67,56,51,5,170202,FITZCARRALD
2,YOMIBATO,Omagua,394,377,187,190,82,82,-,170202,FITZCARRALD
3,TAYACOME,Omagua,354,181,84,97,42,42,-,170202,FITZCARRALD
4,ISLA DE LOS VALLES,Omagua,305,56,31,25,21,21,-,170202,FITZCARRALD
5,BARRACA (PUERTO AZUL),Omagua,299,64,41,23,26,26,-,170202,FITZCARRALD
6,DIAMANTE,Omagua,337,256,128,128,72,72,-,170202,FITZCARRALD
7,MAIZAL,Omagua,348,68,34,34,17,17,-,170202,FITZCARRALD
8,NUEVO EDEN,Omagua,381,134,75,59,71,67,4,170202,FITZCARRALD
10,COCHA CASHU 2/,Omagua,334,33,16,17,-,-,-,170202,FITZCARRALD
11,CASA MACHIGUENGA,Omagua,316,12,9,3,1,1,-,170202,FITZCARRALD
12,CACAOTAL (SARIGUENIKE),Omagua,360,61,27,34,17,17,-,170202,FITZCARRALD
1,BOCA COLORADO,Omagua,246,2 252,1 209,1 043,671,642,29,170203,MADRE DE DIOS
3,PACAL GUACAMAYO,Omagua,231,103,58,45,33,33,-,170203,MADRE DE DIOS
4,SAN JUAN GRANDE,Omagua,226,221,104,117,168,154,14,170203,MADRE DE DIOS
5,SAN JUAN CHICO,Omagua,231,4,3,1,4,2,2,170203,MADRE DE DIOS
6,BOCA AMIGO,Omagua,217,180,94,86,59,55,4,170203,MADRE DE DIOS
7,MALVINAS,Omagua,222,90,44,46,24,24,-,170203,MADRE DE DIOS
8,BAJO COLORADO (PLAYA OCULTA),Omagua,236,145,70,75,43,40,3,170203,MADRE DE DIOS
13,SAN JOSE DE KARENE,Omagua,264,55,29,26,14,14,-,170203,MADRE DE DIOS
14,PUERTO LUZ,Omagua,271,252,134,118,73,71,2,170203,MADRE DE DIOS
17,GUACAMAYO,Omagua,226,86,72,14,21,21,-,170203,MADRE DE DIOS
19,NUEVO SAN JUAN,Omagua,243,311,161,150,100,92,8,170203,MADRE DE DIOS
20,DELTA 1,Omagua,263,1 689,885,804,620,562,58,170203,MADRE DE DIOS
21,BAJO PUKIRI (DELTA 3),Omagua,284,31,18,13,14,13,1,170203,MADRE DE DIOS
22,DELTA 2,Omagua,286,47,28,19,18,17,1,170203,MADRE DE DIOS
23,PUNKIRI CHICO,Omagua,292,460,236,224,245,202,43,170203,MADRE DE DIOS
24,SETAPO,Omagua,324,64,49,15,23,23,-,170203,MADRE DE DIOS
27,ISHIRIWE,Omagua,252,31,13,18,20,16,4,170203,MADRE DE DIOS
30,BOCA COLORADO,Omagua,266,71,39,32,40,39,1,170203,MADRE DE DIOS
31,DELTA 4,Omagua,257,53,26,27,32,32,-,170203,MADRE DE DIOS
37,BOCA TOCABE,Omagua,267,63,41,22,28,27,1,170203,MADRE DE DIOS
39,VILLA UNION,Omagua,256,9,6,3,8,8,-,170203,MADRE DE DIOS
1,HUEPETUHE,Rupa Rupa,444,5 315,2 793,2 522,2 429,2 168,261,170204,HUEPETUHE
3,LIBERTAD,Rupa Rupa,433,326,230,96,6,6,-,170204,HUEPETUHE
4,CHOQUE,Omagua,350,337,172,165,127,124,3,170204,HUEPETUHE
5,SANTA INES,Rupa Rupa,426,107,69,38,22,22,-,170204,HUEPETUHE
6,NUEVA (CAYCHIWE),Rupa Rupa,428,946,470,476,377,376,1,170204,HUEPETUHE
7,CAYCHIHUE BARRACA,Omagua,355,371,206,165,130,117,13,170204,HUEPETUHE
8,PUERTO PUNKIRI,Omagua,339,148,90,58,56,56,-,170204,HUEPETUHE
10,KIMIRI,Omagua,335,93,65,28,56,56,-,170204,HUEPETUHE
11,SACHABACAYOC,Omagua,343,1,1,-,1,1,-,170204,HUEPETUHE
18,TRANQUERA (BARRANCO CHICO),Omagua,310,67,40,27,24,24,-,170204,HUEPETUHE
19,BAMBERME,Omagua,324,106,80,26,36,36,-,170204,HUEPETUHE
20,PUENTE INAMBARI,Omagua,357,93,51,42,26,26,-,170204,HUEPETUHE
21,ALTO PUKIRI,Omagua,274,162,97,65,69,69,-,170204,HUEPETUHE
