LEISHMANIOSE TEGUMENTAR AMERICANA - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município Infecção  e Mês Diagnóstico
Período:2010
"Município Infecção ";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"150616 Rio Maria";-;-;-;-;-;-;1;1;-;-;1;1;4
"150618 Rondon do Pará";1;3;1;2;4;4;2;4;8;14;10;5;58
"150619 Rurópolis";7;2;1;-;1;1;4;2;1;2;1;1;23
"150655 Santa Luzia do Pará";-;-;-;-;-;2;-;-;-;-;1;-;3
"150658 Santa Maria das Barreiras";1;1;1;-;2;-;1;-;-;-;-;-;6
"150660 Santa Maria do Pará";-;-;-;1;-;-;2;3;-;1;-;-;7
"150670 Santana do Araguaia";3;-;2;3;-;2;4;6;1;8;5;5;39
"150680 Santarém";11;4;5;2;8;12;4;7;7;11;4;1;76
"150690 Santarém Novo";-;-;-;-;-;-;-;-;1;1;-;-;2
"150715 São Domingos do Araguaia";7;2;2;5;4;5;3;1;-;2;-;-;31
"150720 São Domingos do Capim";-;1;-;-;-;1;1;1;-;-;-;5;9
"150730 São Félix do Xingu";3;2;2;-;1;1;1;1;4;2;3;4;24
"150740 São Francisco do Pará";1;-;-;-;1;1;-;1;-;-;-;-;4
"150745 São Geraldo do Araguaia";1;-;-;-;1;1;1;2;4;-;1;1;12
"150746 São João da Ponta";-;-;-;-;-;-;-;-;-;1;-;-;1
"150750 São João do Araguaia";1;-;-;-;2;-;1;-;-;1;4;1;10
"150760 São Miguel do Guamá";-;-;-;-;-;1;1;-;1;-;-;-;3
"150770 São Sebastião da Boa Vista";-;-;-;-;-;-;1;-;1;-;-;1;3
"150775 Sapucaia";-;-;1;-;-;-;-;-;-;-;-;-;1
"150780 Senador José Porfírio";1;1;-;2;-;-;1;1;1;3;4;1;15
"150795 Tailândia";9;2;3;4;1;1;2;4;8;7;5;11;57
"150797 Terra Santa";-;-;-;-;-;-;-;-;-;-;-;1;1
"150800 Tomé-Açu";9;11;6;6;5;1;3;1;1;5;5;3;56
"150803 Tracuateua";-;-;-;-;-;-;-;1;-;-;-;2;3
"150805 Trairão";1;1;2;1;2;-;3;3;8;5;6;-;32
"150808 Tucumã";2;1;1;2;-;-;-;-;-;5;6;8;25
"150810 Tucuruí";2;2;2;4;4;-;2;1;8;1;1;2;29
"150812 Ulianópolis";8;5;4;1;1;5;4;12;20;11;9;5;85
"150815 Uruará";18;14;16;20;3;6;7;7;12;12;21;12;148
"150820 Vigia";-;-;1;-;-;-;-;-;-;-;1;-;2
"150830 Viseu";1;-;2;2;-;1;2;1;-;1;-;3;13
"150835 Vitória do Xingu";-;-;-;-;-;2;1;-;1;-;2;3;9
"150840 Xinguara";1;-;3;2;-;-;-;2;4;-;3;1;16
"160010 Amapá";2;2;-;-;-;-;1;-;-;-;4;1;10
"160020 Calçoene";5;6;5;6;2;1;1;1;1;1;2;8;39
"160027 Laranjal do Jari";5;4;1;3;5;2;3;3;4;4;13;7;54
"160030 Macapá";2;1;-;1;-;-;1;-;-;-;-;1;6
"160040 Mazagão";-;-;2;-;1;-;-;-;-;-;-;-;3
"160050 Oiapoque";16;7;5;10;7;-;2;2;5;1;1;3;59
"160015 Pedra Branca do Amapari";8;3;2;5;2;-;4;1;-;5;9;7;46
"160053 Porto Grande";17;5;6;9;3;4;5;-;1;2;5;9;66
"160055 Pracuúba";1;-;1;-;-;-;-;-;-;-;3;-;5
"160060 Santana";-;-;-;2;2;1;-;-;-;-;-;-;5
"160005 Serra do Navio";15;11;6;4;1;4;1;5;1;-;2;5;55
"160070 Tartarugalzinho";2;-;3;1;2;1;3;2;-;2;6;2;24
"160080 Vitória do Jari";-;-;-;-;-;1;-;-;-;-;1;-;2
"170025 Abreulândia";1;-;-;-;4;1;-;2;-;-;2;-;10
"170030 Aguiarnópolis";-;-;-;-;-;1;-;-;-;-;-;-;1
"170035 Aliança do Tocantins";-;1;1;-;1;-;-;-;-;-;-;-;3
"170040 Almas";-;-;-;-;-;-;2;-;-;1;-;-;3
"170070 Alvorada";1;-;-;-;1;-;-;-;-;-;-;-;2
"170100 Ananás";1;1;-;-;-;-;-;-;-;-;-;-;2
"170110 Aparecida do Rio Negro";1;-;-;1;-;3;1;1;-;1;-;1;9
"170130 Aragominas";1;-;-;1;-;-;-;-;-;-;-;-;2
"170190 Araguacema";-;2;1;2;1;1;4;2;-;-;-;1;14
"170200 Araguaçu";-;-;-;-;-;-;1;5;5;4;2;3;20
"170210 Araguaína";1;1;1;4;-;2;-;1;1;-;3;-;14
"170215 Araguanã";-;-;-;1;1;-;-;-;-;-;-;-;2
"170220 Araguatins";-;-;-;1;-;-;-;-;1;1;1;2;6
"170230 Arapoema";2;-;1;-;-;-;-;-;-;-;2;1;6
"170255 Augustinópolis";-;-;-;-;-;-;-;-;-;-;-;2;2
"170270 Aurora do Tocantins";1;1;-;-;-;-;-;-;1;1;2;-;6
"170290 Axixá do Tocantins";2;-;1;-;-;-;-;1;-;-;-;-;4
"170300 Babaçulândia";-;-;-;-;-;-;-;-;-;-;-;1;1
"170307 Barra do Ouro";-;-;1;-;-;-;-;-;-;1;1;-;3
"170310 Barrolândia";-;1;-;1;-;1;-;-;-;-;-;-;3
"170330 Bom Jesus do Tocantins";-;-;-;-;-;1;-;-;-;1;-;-;2
"170360 Brasilândia do Tocantins";-;-;1;-;-;-;1;-;2;-;-;2;6
"170382 Cachoeirinha";-;-;-;1;-;-;-;-;-;-;-;-;1
"170384 Campos Lindos";-;-;-;-;-;-;-;-;-;1;-;-;1
"170386 Cariri do Tocantins";-;-;-;-;-;-;-;-;-;1;-;-;1
"170388 Carmolândia";-;-;-;-;-;-;-;-;-;1;-;-;1
"170390 Caseara";-;2;2;2;1;3;-;1;-;1;-;4;16
"170410 Centenário";1;-;-;-;-;-;-;-;-;1;-;-;2
"170510 Chapada da Natividade";-;-;-;1;-;-;-;-;-;-;-;-;1
"170460 Chapada de Areia";-;-;1;1;-;-;-;-;-;-;1;-;3
"170550 Colinas do Tocantins";-;-;2;-;-;-;1;-;-;-;-;-;3
"171670 Colméia";1;-;1;-;1;-;-;-;-;1;3;1;8
"170555 Combinado";-;-;-;-;-;-;-;-;-;1;-;-;1
"170600 Couto Magalhães";-;1;2;1;-;-;-;-;-;1;-;-;5
"170610 Cristalândia";-;1;-;1;1;3;1;-;1;3;-;-;11
"170625 Crixás do Tocantins";-;-;-;-;-;-;-;-;-;-;1;-;1
"170650 Darcinópolis";-;1;-;1;-;-;-;2;-;-;-;-;4
"170700 Dianópolis";2;-;-;1;1;3;2;-;1;2;2;1;15
"170710 Divinópolis do Tocantins";-;-;-;-;1;1;1;1;3;-;-;1;8
"170720 Dois Irmãos do Tocantins";1;-;-;1;1;1;-;-;1;-;-;-;5
"170730 Dueré";-;-;-;1;-;-;-;1;1;1;-;-;4
"170755 Fátima";-;-;-;-;1;-;1;-;-;-;-;-;2
"170765 Figueirópolis";-;1;-;-;-;-;-;-;-;-;-;-;1
"170770 Filadélfia";-;2;-;-;1;-;-;-;-;1;-;-;4
"170820 Formoso do Araguaia";-;-;-;-;1;-;-;-;1;-;1;1;4
"170825 Fortaleza do Tabocão";-;-;-;1;-;-;-;-;-;1;-;-;2
"170830 Goianorte";-;-;-;1;-;-;-;-;-;-;-;1;2
"170900 Goiatins";-;1;-;1;-;-;-;-;-;1;-;1;4
"170930 Guaraí";1;4;1;2;2;3;2;1;6;-;1;1;24
